user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_002,agent_core/data/synthetic/images/SYN-001_img_1.jpg;agent_core/data/synthetic/images/SYN-001_img_2.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The front bumper. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a dent. I have uploaded photos.,car,true,Image quality assessed good (score 85).,none,dent,front_bumper,supported,"The submitted images confirm the claimed damage on the claimed part. Evidence: img_1, img_2. [R052_supported]",img_1;img_2,true,medium
user_003,agent_core/data/synthetic/images/SYN-002_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The rear bumper. There is a light scuff there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a scratch. I have uploaded photos.,car,true,Image quality assessed good (score 85).,none,scratch,rear_bumper,supported,The submitted images confirm the claimed damage on the claimed part. Evidence: img_1. [R052_supported],img_1,true,low
user_004,agent_core/data/synthetic/images/SYN-003_img_1.jpg;agent_core/data/synthetic/images/SYN-003_img_2.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The door. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a dent. I have uploaded photos.,car,true,Image quality assessed good (score 85).,none,dent,door,supported,"The submitted images confirm the claimed damage on the claimed part. Evidence: img_1, img_2. [R052_supported]",img_1;img_2,true,medium
user_005,agent_core/data/synthetic/images/SYN-004_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The bonnet. There is a light scuff there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a scratch. I have uploaded photos.,car,true,Image quality assessed good (score 85).,none,scratch,unknown,supported,The submitted images confirm the claimed damage on the claimed part. Evidence: img_1. [R052_supported],img_1,true,low
user_006,agent_core/data/synthetic/images/SYN-005_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The headlight. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a crack. I have uploaded photos.,car,true,Image quality assessed good (score 85).,none,crack,headlight,supported,The submitted images confirm the claimed damage on the claimed part. Evidence: img_1. [R052_supported],img_1,true,medium
user_007,agent_core/data/synthetic/images/SYN-006_img_1.jpg;agent_core/data/synthetic/images/SYN-006_img_2.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The windscreen. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a crack. I have uploaded photos.,car,true,Image quality assessed good (score 85).,none,crack,unknown,supported,"The submitted images confirm the claimed damage on the claimed part. Evidence: img_1, img_2. [R052_supported]",img_1;img_2,true,medium
user_008,agent_core/data/synthetic/images/SYN-007_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The wing mirror. There is a light scuff there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a scratch. I have uploaded photos.,car,true,Image quality assessed good (score 85).,none,scratch,unknown,supported,"Damage is confirmed on a part adjacent to the one claimed, consistent with the described incident. The claimed part (side_mirror) was not itself identified, but damage was observed on the adjacent quarter_panel. Evidence: img_1. [R051_supported_adjacent]",img_1,true,low
user_009,agent_core/data/synthetic/images/SYN-008_img_1.jpg,"Customer: My laptop was damaged and I want to claim for it. | Agent: Which part of the device? | Customer: The screen - there is clear damage. | Agent: Is it a crack, a dent, or something else? | Customer: It looks like a crack to me. Photo attached.",laptop,true,Image quality assessed good (score 95).,none,crack,screen,supported,The submitted images confirm the claimed damage on the claimed part. Severity could not be compared (one side is unknown). Evidence: img_1. [R052_supported],img_1,true,medium
user_010,agent_core/data/synthetic/images/SYN-009_img_1.jpg,"Customer: My laptop was damaged and I want to claim for it. | Agent: Which part of the device? | Customer: The keyboard - there is a small mark. | Agent: Is it a crack, a dent, or something else? | Customer: It looks like a stain to me. Photo attached.",laptop,true,Image quality assessed good (score 90).,none,stain,keyboard,supported,The submitted images confirm the claimed damage on the claimed part. Evidence: img_1. [R052_supported],img_1,true,low
user_011,agent_core/data/synthetic/images/SYN-010_img_1.jpg;agent_core/data/synthetic/images/SYN-010_img_2.jpg,"Customer: My laptop was damaged and I want to claim for it. | Agent: Which part of the device? | Customer: The hinge - there is clear damage. | Agent: Is it a crack, a dent, or something else? | Customer: It looks like a broken part to me. Photo attached.",laptop,true,Image quality assessed good (score 90).,none,broken_part,hinge,supported,"The submitted images confirm the claimed damage on the claimed part. Severity could not be compared (one side is unknown). Evidence: img_1, img_2. [R052_supported]",img_1;img_2,true,medium
