user_id,claim_count,rejected_claims,manual_review_history,history_flags
user_001,1,0,0,none
user_002,3,0,0,none
user_003,2,1,0,none
user_004,2,0,1,none
user_005,8,4,3,high_rejection_rate;suspicious_claims
user_006,2,1,1,none
user_007,2,0,1,none
user_008,5,2,2,prior_suspicious_evidence
user_009,3,0,1,none
user_010,2,0,1,none
user_011,1,0,0,none
user_012,3,0,1,none
user_014,1,0,1,none
user_015,3,1,1,none
user_016,1,0,1,none
user_017,2,0,1,none
user_018,2,1,1,none
user_019,3,0,0,none
user_020,6,3,4,blurry_uploads_frequent
user_022,3,1,0,none
user_025,1,0,1,none
user_026,3,0,1,none
user_027,2,0,1,none
user_028,1,0,0,none
user_029,2,0,0,none
user_030,1,0,1,none
user_031,4,1,2,frequent_claims
user_032,3,1,0,none
user_033,9,5,3,severity_exaggeration;high_rejection_rate
user_034,7,3,3,prior_text_in_images
user_036,3,1,1,pushy_behavior
user_037,2,1,0,none
user_038,2,1,0,none
user_039,3,1,0,none
user_040,12,6,5,harassment_threats;high_rejection_rate
user_041,2,1,1,none
user_042,2,0,0,none
user_043,3,0,0,none
user_044,3,0,1,none
user_045,3,1,0,none
user_046,2,0,0,none
user_047,1,0,1,none
