claim_id,user_id,image_paths,user_claim,claim_object
SYN-001,user_002,agent_core/data/synthetic/images/SYN-001_img_1.jpg;agent_core/data/synthetic/images/SYN-001_img_2.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The front bumper. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a dent. I have uploaded photos.,car
SYN-002,user_003,agent_core/data/synthetic/images/SYN-002_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The rear bumper. There is a light scuff there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a scratch. I have uploaded photos.,car
SYN-003,user_004,agent_core/data/synthetic/images/SYN-003_img_1.jpg;agent_core/data/synthetic/images/SYN-003_img_2.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The door. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a dent. I have uploaded photos.,car
SYN-004,user_005,agent_core/data/synthetic/images/SYN-004_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The bonnet. There is a light scuff there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a scratch. I have uploaded photos.,car
SYN-005,user_006,agent_core/data/synthetic/images/SYN-005_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The headlight. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a crack. I have uploaded photos.,car
SYN-006,user_007,agent_core/data/synthetic/images/SYN-006_img_1.jpg;agent_core/data/synthetic/images/SYN-006_img_2.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The windscreen. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a crack. I have uploaded photos.,car
SYN-007,user_008,agent_core/data/synthetic/images/SYN-007_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The wing mirror. There is a light scuff there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a scratch. I have uploaded photos.,car
SYN-008,user_009,agent_core/data/synthetic/images/SYN-008_img_1.jpg,"Customer: My laptop was damaged and I want to claim for it. | Agent: Which part of the device? | Customer: The screen - there is clear damage. | Agent: Is it a crack, a dent, or something else? | Customer: It looks like a crack to me. Photo attached.",laptop
SYN-009,user_010,agent_core/data/synthetic/images/SYN-009_img_1.jpg,"Customer: My laptop was damaged and I want to claim for it. | Agent: Which part of the device? | Customer: The keyboard - there is a small mark. | Agent: Is it a crack, a dent, or something else? | Customer: It looks like a stain to me. Photo attached.",laptop
SYN-010,user_011,agent_core/data/synthetic/images/SYN-010_img_1.jpg;agent_core/data/synthetic/images/SYN-010_img_2.jpg,"Customer: My laptop was damaged and I want to claim for it. | Agent: Which part of the device? | Customer: The hinge - there is clear damage. | Agent: Is it a crack, a dent, or something else? | Customer: It looks like a broken part to me. Photo attached.",laptop
SYN-011,user_012,agent_core/data/synthetic/images/SYN-011_img_1.jpg,"Customer: My laptop was damaged and I want to claim for it. | Agent: Which part of the device? | Customer: The corner - there is a small mark. | Agent: Is it a crack, a dent, or something else? | Customer: It looks like a dent to me. Photo attached.",laptop
SYN-012,user_013,agent_core/data/synthetic/images/SYN-012_img_1.jpg,Customer: My delivery arrived damaged. | Agent: What part of the package was affected? | Customer: The corner of the box was clearly damaged. | Agent: How would you describe the damage? | Customer: Crushed packaging. I photographed it on arrival.,package
SYN-013,user_014,agent_core/data/synthetic/images/SYN-013_img_1.jpg;agent_core/data/synthetic/images/SYN-013_img_2.jpg,Customer: My delivery arrived damaged. | Agent: What part of the package was affected? | Customer: The seal was clearly damaged. | Agent: How would you describe the damage? | Customer: Torn packaging. I photographed it on arrival.,package
SYN-014,user_015,agent_core/data/synthetic/images/SYN-014_img_1.jpg,Customer: My delivery arrived damaged. | Agent: What part of the package was affected? | Customer: The side of the box was slightly affected. | Agent: How would you describe the damage? | Customer: Crushed packaging. I photographed it on arrival.,package
SYN-015,user_016,agent_core/data/synthetic/images/SYN-015_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The grille. There is a light scuff there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a scratch. I have uploaded photos.,car
SYN-016,user_017,agent_core/data/synthetic/images/SYN-016_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The bonnet. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a dent. I have uploaded photos.,car
SYN-017,user_001,agent_core/data/synthetic/images/SYN-017_img_1.jpg,"Customer: My laptop was damaged and I want to claim for it. | Agent: Which part of the device? | Customer: The lid - there is a small mark. | Agent: Is it a crack, a dent, or something else? | Customer: It looks like a scratch to me. Photo attached.",laptop
SYN-018,user_002,agent_core/data/synthetic/images/SYN-018_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The rear bumper. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a dent. I have uploaded photos.,car
SYN-019,user_003,agent_core/data/synthetic/images/SYN-019_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The door. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a dent. I have uploaded photos.,car
SYN-020,user_004,agent_core/data/synthetic/images/SYN-020_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The windscreen. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a crack. I have uploaded photos.,car
SYN-021,user_005,agent_core/data/synthetic/images/SYN-021_img_1.jpg,Customer: I need to report damage to my car. | Agent: Which part is affected? | Customer: The front bumper. There is a fairly noticeable dent there. | Agent: What sort of damage would you call it? | Customer: I would describe it as a dent. I have uploaded photos.,car
SYN-022,user_006,agent_core/data/synthetic/images/SYN-022_img_1.jpg,"Customer: My laptop was damaged and I want to claim for it. | Agent: Which part of the device? | Customer: The screen - there is clear damage. | Agent: Is it a crack, a dent, or something else? | Customer: It looks like a crack to me. Photo attached.",laptop
SYN-023,user_007,agent_core/data/synthetic/images/SYN-023_img_1.jpg,"Customer: My laptop was damaged and I want to claim for it. | Agent: Which part of the device? | Customer: The trackpad - there is clear damage. | Agent: Is it a crack, a dent, or something else? | Customer: It looks like a dent to me. Photo attached.",laptop
