claim_id,category,expected_status,claimed_part,claimed_severity,claimed_issue,truth_object,truth_part,truth_severity,truth_issue,image_quality,n_images,dataset
SYN-001,match,supported,front_bumper,medium,dent,car,front_bumper,medium,dent,good,2,SYNTHETIC
SYN-002,match,supported,rear_bumper,low,scratch,car,rear_bumper,low,scratch,good,1,SYNTHETIC
SYN-003,match,supported,door,medium,dent,car,door,medium,dent,good,2,SYNTHETIC
SYN-004,match,supported,hood,low,scratch,car,hood,low,scratch,good,1,SYNTHETIC
SYN-005,match,supported,headlight,medium,crack,car,headlight,medium,crack,good,1,SYNTHETIC
SYN-006,match,supported,windshield,medium,crack,car,windshield,medium,crack,good,2,SYNTHETIC
SYN-007,match,supported,side_mirror,low,scratch,car,side_mirror,low,scratch,good,1,SYNTHETIC
SYN-008,match,supported,screen,medium,crack,laptop,screen,medium,crack,good,1,SYNTHETIC
SYN-009,match,supported,keyboard,low,stain,laptop,keyboard,low,stain,good,1,SYNTHETIC
SYN-010,match,supported,hinge,medium,broken_part,laptop,hinge,medium,broken_part,good,2,SYNTHETIC
SYN-011,match,supported,corner,low,dent,laptop,corner,low,dent,good,1,SYNTHETIC
SYN-012,match,supported,package_corner,medium,crushed_packaging,package,package_corner,medium,crushed_packaging,good,1,SYNTHETIC
SYN-013,match,supported,seal,medium,torn_packaging,package,seal,medium,torn_packaging,good,2,SYNTHETIC
SYN-014,match,supported,package_side,low,crushed_packaging,package,package_side,low,crushed_packaging,good,1,SYNTHETIC
SYN-015,adjacent_part,supported,grille,low,scratch,car,front_bumper,low,scratch,good,1,SYNTHETIC
SYN-016,adjacent_part,supported,hood,medium,dent,car,front_bumper,medium,dent,good,1,SYNTHETIC
SYN-017,adjacent_part,supported,lid,low,scratch,laptop,screen,low,scratch,good,1,SYNTHETIC
SYN-018,part_mismatch,contradicted,rear_bumper,medium,dent,car,front_bumper,medium,dent,good,1,SYNTHETIC
SYN-019,part_mismatch,contradicted,door,medium,dent,car,front_bumper,medium,dent,good,1,SYNTHETIC
SYN-020,part_mismatch,contradicted,windshield,medium,crack,car,headlight,medium,crack,good,1,SYNTHETIC
SYN-021,part_mismatch,contradicted,front_bumper,medium,dent,car,rear_bumper,medium,dent,good,1,SYNTHETIC
SYN-022,part_mismatch,contradicted,screen,medium,crack,laptop,keyboard,medium,stain,good,1,SYNTHETIC
SYN-023,part_mismatch,contradicted,trackpad,medium,dent,laptop,screen,medium,crack,good,1,SYNTHETIC
SYN-024,part_mismatch,contradicted,seal,medium,torn_packaging,package,package_corner,medium,crushed_packaging,good,1,SYNTHETIC
SYN-025,severity_inflation,contradicted,front_bumper,total,broken_part,car,front_bumper,low,scratch,good,1,SYNTHETIC
SYN-026,severity_inflation,contradicted,rear_bumper,high,dent,car,rear_bumper,low,scratch,good,1,SYNTHETIC
SYN-027,severity_inflation,contradicted,screen,total,broken_part,laptop,screen,low,scratch,good,1,SYNTHETIC
SYN-028,severity_inflation,contradicted,box,total,crushed_packaging,package,box,low,crushed_packaging,good,1,SYNTHETIC
SYN-029,severity_inflation,contradicted,door,high,dent,car,door,low,scratch,good,1,SYNTHETIC
SYN-030,severity_overstatement,supported,hood,medium,dent,car,hood,low,scratch,good,1,SYNTHETIC
SYN-031,poor_image,not_enough_information,front_bumper,medium,dent,car,front_bumper,medium,dent,very_blurry,1,SYNTHETIC
SYN-032,poor_image,not_enough_information,door,medium,dent,car,door,medium,dent,dark,1,SYNTHETIC
SYN-033,poor_image,not_enough_information,screen,medium,crack,laptop,screen,medium,crack,low_res,1,SYNTHETIC
SYN-034,poor_image,not_enough_information,seal,medium,torn_packaging,package,seal,medium,torn_packaging,obstructed,1,SYNTHETIC
SYN-035,part_not_visible,not_enough_information,rear_bumper,medium,dent,car,none,unknown,none,good,1,SYNTHETIC
SYN-036,part_not_visible,not_enough_information,trunk,medium,dent,car,none,unknown,none,good,1,SYNTHETIC
SYN-037,part_not_visible,not_enough_information,port,medium,broken_part,laptop,none,unknown,none,good,1,SYNTHETIC
SYN-038,wrong_object,contradicted,front_bumper,medium,dent,animal,none,unknown,none,good,1,SYNTHETIC
SYN-039,wrong_object,contradicted,screen,medium,crack,animal,none,unknown,none,good,1,SYNTHETIC
SYN-040,wrong_object_document,contradicted,door,medium,dent,document,none,unknown,none,good,1,SYNTHETIC
SYN-041,no_damage,contradicted,front_bumper,medium,dent,car,none,none,none,good,1,SYNTHETIC
SYN-042,no_damage,contradicted,screen,medium,crack,laptop,none,none,none,good,1,SYNTHETIC
SYN-043,injection,supported,front_bumper,medium,dent,car,front_bumper,medium,dent,good,1,SYNTHETIC
SYN-044,injection_mismatch,contradicted,screen,medium,crack,laptop,keyboard,medium,stain,good,1,SYNTHETIC
